Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
10,3,28,15,10,1,38,0,0,18,0,0,0,0,123
21,6,46,45,1,0,95,0,0,57,0,0,0,0,271
12,5,68,13,5,0,40,0,0,22,0,0,0,0,165
11,23,76,16,0,0,63,0,0,45,0,0,0,0,234
24,34,134,30,0,0,71,0,0,41,0,0,0,3,337
37,44,155,17,0,0,52,0,0,115,0,0,0,1,421
20,3,64,20,0,0,70,0,0,33,0,0,0,0,210
33,7,185,23,30,0,117,0,0,2,0,0,0,0,397
12,18,89,43,6,0,0,0,0,125,0,0,0,0,293
14,0,63,26,6,0,82,0,0,23,0,0,0,0,214
35,19,217,26,0,8,201,0,0,0,0,0,0,1,507
26,3,196,54,0,0,147,0,0,123,0,0,161,2,712
13,11,135,34,0,0,168,0,0,0,0,0,0,0,361
0,1,0,0,3,0,0,0,0,0,0,0,0,0,4
10,13,40,10,28,0,73,0,0,0,0,0,0,0,174
15,8,54,23,1,0,34,0,0,31,0,0,0,0,166
66,22,147,10,0,0,76,0,0,71,0,0,0,1,393
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18,13,80,16,2,0,74,0,0,24,0,0,0,0,227
59,3,89,11,8,0,73,0,0,14,0,0,0,3,260
10,19,38,7,0,0,18,0,0,61,0,0,0,0,153
20,3,79,12,0,0,42,0,0,0,0,0,0,0,156
47,0,202,31,1,0,217,0,0,0,0,0,0,0,498
23,0,251,79,1,0,154,0,0,60,0,0,0,0,568
8,3,43,7,6,0,43,0,0,0,0,0,0,1,111
37,52,208,53,5,0,244,0,0,190,0,0,0,0,789
4,0,6,0,4,0,1,0,0,0,0,0,0,0,15
29,0,193,54,2,0,195,0,0,71,0,0,0,0,544
5,1,32,7,19,4,13,0,0,28,0,0,0,0,109
27,1,106,29,0,0,37,0,0,63,0,0,0,0,263
82,29,644,104,11,83,474,0,0,231,0,0,0,5,1663
1,0,5,1,20,0,0,0,0,0,0,0,0,0,27
44,0,111,16,0,0,54,0,0,44,0,0,0,0,269
29,10,108,41,3,0,68,0,0,0,0,0,0,0,259
19,0,86,3,0,0,49,0,0,17,0,0,0,0,174
34,0,183,34,0,0,102,0,0,52,0,0,0,0,405
29,10,222,73,1,0,58,0,0,128,0,0,0,0,521
1,8,24,13,17,0,28,0,0,22,0,0,0,0,113
5,0,25,4,6,0,18,0,0,0,0,0,0,0,58
22,12,180,14,0,0,196,0,0,0,0,0,0,0,424
21,0,136,41,0,0,38,0,0,110,0,0,0,0,346
22,15,99,14,2,0,72,0,0,34,0,0,0,0,258
36,0,229,62,0,0,137,0,0,0,0,0,0,4,468
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,403,5158,1154,198,96,3792,0,0,1867,0,0,161,21,13891
37,2,32,4,50,1,13,0,2,0,0,0,0,0,141
60,0,83,4,90,1,16,0,12,0,0,0,0,0,266
98,0,14,3,65,1,24,0,0,0,0,0,0,0,205
24,0,29,3,44,2,12,0,3,0,0,0,0,0,117
93,0,144,6,204,1,47,0,20,0,0,0,0,0,515
9,0,12,0,4,0,4,0,0,0,0,0,0,0,29
9,0,8,0,10,0,2,0,1,0,0,0,0,0,30
35,0,13,0,39,2,6,0,3,0,0,0,0,0,98
112,7,125,1,226,8,84,0,19,0,0,0,0,3,585
46,2,17,0,25,1,13,0,5,0,0,0,0,0,109
0,0,2,1,8,1,0,0,0,0,0,0,0,0,12
58,0,50,2,28,0,10,0,6,0,0,0,0,0,154
54,3,79,20,112,6,42,0,11,0,0,0,0,0,327
98,0,57,0,44,0,3,0,0,2,0,0,0,0,204
29,0,35,1,72,0,20,0,1,0,0,0,0,0,158
56,0,31,2,36,3,24,0,0,0,0,0,0,0,152
29,0,21,0,24,0,7,0,0,0,0,0,0,0,81
67,1,51,7,64,3,36,0,2,0,0,0,0,1,232
68,0,41,1,75,2,34,0,11,0,0,0,0,0,232
43,1,48,2,76,5,15,0,2,0,0,0,0,0,192
19,0,38,1,42,1,15,0,6,0,0,0,0,0,122
5,0,7,0,0,0,0,0,1,0,0,0,0,0,13
122,0,75,16,98,6,48,0,0,2,0,0,0,0,367
198,3,205,8,205,7,70,0,21,5,0,0,2,0,724
49,0,73,4,87,1,28,0,6,0,0,0,0,0,248
82,0,14,0,76,0,6,0,2,0,0,0,0,0,180
5,0,5,0,6,0,1,0,0,0,0,0,0,0,17
55,0,45,3,58,1,40,0,7,1,0,0,0,0,210
1560,19,1354,89,1868,53,620,0,141,10,0,0,2,4,5720
49,0,43,0,86,9,4,0,3,0,0,0,0,3,197
34,0,27,0,57,24,12,0,0,0,0,0,0,0,154
3,0,0,0,7,1,3,0,0,0,0,0,0,0,14
86,0,70,0,150,34,19,0,3,0,0,0,0,3,365
59,0,243,1,152,2,595,0,5,0,0,0,1,8,1066
10,0,6,2,21,0,73,0,3,0,0,0,1,1,117
8,0,48,0,17,2,131,0,15,0,0,0,0,0,221
22,1,96,0,41,3,99,0,1,0,0,0,0,2,265
13,0,15,0,18,0,50,0,16,0,0,0,0,0,112
37,0,89,1,54,1,188,0,0,0,0,0,0,0,370
12,0,24,0,41,0,93,0,2,0,0,0,0,0,172
8,0,27,1,34,4,104,0,15,0,0,0,0,1,194
1,0,25,1,18,0,20,0,7,0,0,0,0,0,72
12,0,6,0,12,0,19,0,0,0,0,0,0,0,49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,53,0,38,0,137,0,0,0,0,0,0,0,251
2,0,0,0,6,2,7,0,1,0,0,0,0,0,18
5,0,11,0,3,1,42,0,12,0,0,0,0,0,74
7,1,22,0,26,16,123,0,0,0,0,0,0,2,197
6,0,14,0,27,2,122,0,2,0,0,0,0,1,174
11,0,36,1,20,1,169,0,13,0,0,0,0,2,253
6,0,25,0,19,3,212,0,8,0,0,0,0,0,273
28,0,35,0,35,0,48,0,16,0,0,0,0,4,166
16,0,8,1,30,3,70,0,15,0,0,0,0,0,143
11,0,73,0,22,1,73,0,1,0,0,0,0,0,181
6,0,19,0,13,0,46,0,0,0,0,0,0,0,84
17,0,81,0,39,0,180,0,2,2,0,0,0,1,322
8,0,21,0,8,1,58,0,8,0,0,0,0,0,104
1,0,5,0,9,0,13,0,0,0,0,0,0,0,28
4,0,25,0,13,0,42,0,1,0,0,0,0,1,86
7,0,16,0,28,0,66,0,0,34,0,0,0,1,152
16,1,16,0,42,0,72,0,8,0,0,0,0,1,156
3,0,11,0,12,0,72,0,3,0,0,0,0,0,101
19,0,74,0,35,2,204,0,19,0,0,0,0,3,356
10,0,60,0,32,0,163,0,7,0,0,0,0,0,272
3,0,19,0,33,3,176,0,10,0,0,0,0,0,244
43,0,143,1,50,1,260,0,2,0,0,0,0,2,502
8,0,43,1,13,0,41,0,0,0,0,0,0,0,106
21,0,36,2,26,1,57,0,21,0,0,0,0,0,164
10,0,9,0,13,24,8,0,0,0,0,0,0,0,64
15,0,45,0,104,0,232,0,0,0,0,0,0,3,399
3,0,17,0,15,0,36,0,13,0,0,0,0,0,84
11,0,69,0,37,0,31,0,6,0,0,0,0,2,156
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,8,0,1,0,0,0,0,0,0,0,14
503,3,1569,12,1164,73,4133,0,232,36,0,0,2,35,7762
3,0,26,7,18,0,36,0,0,0,0,0,0,1,91
22,3,51,3,24,0,49,0,1,1,0,0,0,0,154
44,7,36,18,94,0,147,0,11,1,0,0,0,3,361
128,9,313,24,123,0,371,0,0,2,0,0,0,3,973
21,1,31,3,63,2,155,0,5,0,0,0,1,0,282
1,0,0,4,18,0,0,0,4,0,0,0,0,0,27
130,12,295,12,183,37,268,0,15,1,0,0,0,6,959
55,0,52,13,118,4,360,0,8,1,0,0,0,0,611
60,3,27,5,70,5,153,0,3,1,0,0,0,3,330
31,1,52,13,73,1,116,0,6,0,0,0,0,2,295
29,4,97,11,61,0,102,0,3,0,0,0,0,2,309
54,9,248,15,94,1,235,0,20,1,0,0,0,11,688
26,4,53,9,88,1,145,0,0,0,0,0,0,0,326
32,4,50,10,100,4,71,0,5,2,0,0,2,2,282
59,3,55,8,58,3,98,0,5,1,0,0,8,0,298
36,5,52,22,87,1,158,0,2,0,0,0,0,0,363
24,0,116,2,34,4,62,0,4,0,0,0,0,2,248
47,10,86,9,95,2,195,0,2,0,0,0,0,0,446
56,9,49,9,71,17,119,0,2,0,0,0,0,0,332
54,6,277,14,190,2,193,0,12,1,0,0,0,2,751
52,2,48,5,58,3,168,0,0,0,0,0,0,6,342
62,6,57,20,94,3,168,0,14,2,0,0,0,1,427
44,7,265,7,72,0,156,0,0,0,0,0,0,0,551
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,105,2336,243,1886,90,3525,0,122,14,0,0,11,44,9446
7,0,12,0,19,1,15,0,2,0,0,0,0,0,56
15,0,23,0,45,13,12,0,5,0,0,0,0,0,113
26,0,20,1,28,0,10,0,3,0,0,0,0,0,88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,10,0,34,9,11,0,8,0,0,0,0,0,78
46,1,35,0,60,11,39,0,22,0,0,0,15,1,230
8,0,5,0,4,0,3,0,0,0,0,0,0,0,20
23,0,11,0,19,4,14,0,0,0,0,0,0,0,71
3,0,0,0,0,1,0,0,0,0,0,0,0,0,4
29,0,38,0,84,5,25,0,8,0,0,0,0,0,189
24,0,36,0,46,7,26,0,3,0,0,0,0,2,144
31,0,20,0,52,2,17,0,4,0,0,0,0,1,127
8,0,12,0,18,2,10,0,1,0,0,0,0,1,52
18,0,17,1,25,3,44,0,8,0,0,0,0,1,117
244,1,239,2,434,58,226,0,64,0,0,0,15,6,1289
20,0,77,0,135,0,25,0,1,0,0,0,0,0,258
6,0,23,0,28,0,4,0,0,0,0,0,0,0,61
4,0,33,0,27,13,3,0,5,0,0,0,0,0,85
6,3,72,0,85,20,12,0,0,0,0,0,0,0,198
13,0,62,1,45,5,8,0,1,0,0,0,0,0,135
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,27,0,26,5,3,0,0,0,0,0,0,0,70
0,1,31,0,61,0,6,0,0,0,0,0,0,0,99
2,0,35,0,56,5,3,0,3,0,0,0,0,0,104
51,0,202,3,111,33,92,0,0,0,0,0,0,0,492
1,0,1,0,1,1,1,0,0,0,0,0,0,0,5
20,4,51,0,53,4,17,0,3,0,0,0,0,0,152
12,0,10,0,10,0,6,0,1,0,0,0,0,0,39
9,0,34,0,120,6,6,0,0,0,0,0,0,0,175
14,0,48,0,49,7,10,0,19,0,0,0,0,0,147
4,0,2,0,1,0,0,0,0,0,0,0,0,0,7
14,0,25,0,31,0,11,0,6,0,0,0,0,0,87
5,0,33,0,28,10,1,0,0,0,0,0,0,0,77
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,61,0,63,7,42,0,0,0,0,0,0,0,208
11,0,18,0,24,6,15,0,0,0,0,0,0,0,74
15,3,26,0,20,4,8,0,0,0,0,0,0,0,76
4,0,13,2,10,4,9,0,0,0,0,0,0,0,42
8,0,26,0,45,0,4,0,0,0,0,0,0,0,83
9,0,39,0,67,0,6,0,6,0,0,0,0,0,127
12,6,103,0,223,37,91,0,0,1,0,0,0,0,473
13,3,19,0,23,8,16,0,5,0,0,0,0,0,87
296,21,1071,6,1343,175,400,0,50,1,0,0,0,0,3363
97,0,123,14,0,0,260,0,0,0,0,0,0,0,494
59,4,49,5,20,0,17,0,0,19,0,0,0,0,173
24,0,35,16,19,0,34,0,0,59,0,0,0,0,187
44,0,78,25,40,5,195,0,0,172,0,0,0,0,559
40,24,80,9,128,0,45,0,0,62,0,0,0,2,390
1,0,4,0,11,0,0,0,0,0,0,0,0,0,16
46,3,34,13,26,4,48,0,0,28,0,0,0,0,202
48,4,29,17,38,0,53,0,0,81,0,0,0,0,270
45,31,57,35,238,0,116,0,0,152,0,0,0,0,674
30,0,17,6,0,0,82,0,0,77,0,0,0,0,212
56,2,29,2,16,0,21,0,0,34,0,0,0,0,160
57,36,53,22,62,0,53,0,0,138,0,0,0,0,421
68,29,79,14,53,0,129,0,3,193,0,0,0,0,568
0,0,2,0,0,1,0,0,0,0,0,0,0,0,3
17,14,12,15,25,0,72,0,0,49,0,0,0,0,204
21,0,3,0,10,0,2,0,0,6,0,0,0,0,42
17,0,17,5,3,0,67,0,0,37,0,0,0,0,146
28,2,16,4,32,0,20,0,0,41,0,0,0,0,143
37,3,18,3,15,0,13,0,0,31,0,0,0,0,120
54,7,22,4,16,0,111,0,0,51,0,0,0,0,265
45,6,39,21,19,0,31,0,0,92,0,0,0,0,253
20,15,16,11,39,0,21,0,0,109,0,0,0,1,232
89,0,65,8,0,0,58,0,0,53,0,0,0,0,273
60,19,11,9,12,0,155,0,0,0,0,0,0,0,266
23,0,35,7,19,0,41,0,0,59,0,0,0,0,184
27,3,7,2,3,0,10,0,0,9,0,0,0,0,61
1053,202,930,267,844,10,1654,0,3,1552,0,0,0,3,6518
12,1,12,2,153,0,43,0,0,30,0,0,0,1,254
112,2,624,54,718,56,483,0,80,714,0,0,0,236,3079
27,0,95,16,160,4,79,0,0,36,0,0,0,9,426
14,0,47,2,173,6,149,0,14,14,0,0,0,6,425
15,0,32,13,106,1,57,0,1,69,0,0,0,12,306
9,0,15,10,88,14,126,0,11,30,0,0,0,2,305
22,1,32,10,140,0,134,0,13,3,0,0,0,5,360
13,0,5,12,74,1,19,0,9,30,0,0,0,1,164
7,0,3,9,110,2,10,0,1,6,0,0,0,1,149
12,0,44,4,144,1,76,0,17,29,0,0,0,0,327
6,0,66,3,250,0,55,0,9,41,0,0,0,5,435
19,2,7,1,101,5,32,0,3,11,0,0,0,0,181
14,2,45,4,182,2,77,0,6,49,0,0,1,3,385
4,0,21,2,34,0,34,0,0,0,0,0,0,0,95
7,0,2,0,49,0,21,0,0,4,0,0,0,2,85
16,1,35,10,139,11,109,0,8,39,0,0,0,6,374
24,0,54,14,194,2,63,0,0,14,0,0,0,7,372
15,0,17,2,47,0,30,0,8,14,0,0,0,2,135
7,0,21,3,32,2,60,0,3,0,0,0,0,7,135
0,0,7,4,13,1,4,0,1,12,0,0,0,0,42
36,0,7,1,48,1,33,0,0,3,0,0,0,1,130
2,0,18,3,40,0,14,0,0,15,0,0,0,0,92
12,0,25,3,52,0,39,0,0,0,0,0,0,2,133
13,1,56,9,432,10,148,0,11,31,1,0,0,9,721
14,0,5,0,80,7,31,0,0,36,0,0,0,7,180
32,1,44,8,74,1,44,0,2,75,0,0,0,52,333
9,0,40,5,160,1,79,0,0,14,1,0,0,2,311
17,2,11,8,223,2,150,0,6,60,0,0,0,1,480
1,0,0,0,10,0,0,0,0,0,0,0,0,0,11
20,0,68,11,152,2,64,0,12,35,0,0,0,1,365
27,0,55,10,368,2,187,0,20,0,0,0,0,12,681
15,0,35,16,84,9,64,0,7,35,0,0,0,18,283
20,0,15,0,110,3,35,0,9,34,0,0,0,4,230
6,2,26,0,161,4,53,0,7,18,0,0,0,3,280
7,1,9,2,138,0,59,0,8,15,0,0,0,1,240
3,0,13,3,73,4,71,0,7,25,0,0,0,2,201
589,16,1611,254,5112,154,2732,0,273,1541,2,0,1,420,12705
48,1,10,0,201,13,154,0,5,1,0,0,10,2,445
51,0,8,0,140,19,123,0,0,0,0,0,4,59,404
79,0,8,1,177,22,145,0,0,0,0,0,12,10,454
85,0,12,0,181,13,108,0,0,0,0,0,6,0,405
56,4,13,1,219,11,235,0,0,0,2,0,1,4,546
57,0,8,0,147,8,130,0,1,0,0,0,3,0,354
