Jakkur,13.080197,77.616858,13,3,19,0,23,8,16,82,1152,19,16,11,1,1,1,12,1,1,1,1,12
Jalavayuvihar,9.92572,76.25988,3,0,26,7,18,0,36,90,2034,21,18,12,1,1,1,13,1,1,1,1,14
Jayamahal Road,13.013593,77.588086,51,0,8,0,140,19,123,341,5217,81,71,47,5,5,5,51,5,5,5,5,54
Jeevanbhimanagar,12.778136,75.215772,12,0,9,0,5,8,3,37,6554,8,7,4,1,1,1,5,1,1,1,1,5
Kadugodi Extention,12.998399,77.758624,2,0,0,0,0,0,0,2,6066,0,0,0,0,0,0,0,0,0,0,0,0
Kadugodi,12.998399,77.758624,8,0,9,1,5,0,2,25,2371,6,4,3,0,0,0,3,0,0,0,0,4
Kalkunte,14.310333,76.268269,9,0,40,5,160,1,79,294,2592,70,61,40,4,4,4,44,4,4,4,4,46
Kalyananagar,12.925376,80.10752,49,0,59,1,81,4,61,255,6675,61,53,35,4,4,4,38,4,4,4,4,40
Kannamangala,13.027413,77.76972,55,0,45,3,58,1,40,202,5785,48,42,28,3,3,3,30,3,3,3,3,32
Kodigehalli,13.056222,77.576593,16,30,97,18,101,4,293,559,6391,133,117,78,8,8,8,83,8,8,8,8,89
Kothanur,11.643863,78.0848,1560,19,1354,89,1868,53,620,5563,4428,1335,1168,778,79,79,79,834,79,79,79,79,890
Krishnarajapuram R S,10.993148,78.325189,24,0,32,1,97,6,75,235,4962,56,49,32,3,3,3,35,3,3,3,3,37
Krishnarajapuram,10.993148,78.325189,33,30,28,15,104,3,292,505,4505,121,105,70,7,7,7,75,7,7,7,7,80
Kundalahalli,12.970258,77.720178,13,0,5,12,74,1,19,124,4112,29,25,17,2,2,2,18,2,2,2,2,19
Legislators Home,23.719714,92.718444,26,4,53,9,88,1,145,326,2493,78,68,45,5,5,5,48,5,5,5,5,52
Lingarajapuram,13.008379,77.623262,59,9,234,8,70,0,597,977,1628,234,204,136,14,14,14,146,14,14,14,14,156
